IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
002641-06012017,06.Jan.17,17:49:39,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Lorry/HGV ,On land associated with building,EC4M 9AF,EC4M,E09000001,CITY OF LONDON,E05009293,BREAD STREET,532206,181113,532250,181150,London,Dowgate,524,Whitechapel,590,Soho,2,2
002642-06012017,06.Jan.17,17:53:44,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,UB3,E09000017,HILLINGDON,E05000325,BOTWELL,NULL,NULL,509750,179550,London,Hayes,286,Hayes,496,Heathrow,2,2
002643-06012017,06.Jan.17,17:54:18,False Alarm,False alarm - Malicious,,Non Residential,Hospital ,Correct incident location,TW7 6AG,TW7,E09000018,HOUNSLOW,E05000364,SYON,516464,176171,516450,176150,London,Heston,235,Heston,447,Heston,3,4
002644-06012017,06.Jan.17,17:56:58,False Alarm,False alarm - Malicious,,Dwelling,Bungalow - single occupancy ,Within same building,,HA3,E09000005,BRENT,E05000093,KENTON,NULL,NULL,517850,188650,London,Stanmore,491,Stanmore,NULL,,1,1
002645-06012017,06.Jan.17,18:01:57,Special Service,Special Service,Making Safe (not RTC),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SM2,E09000029,SUTTON,E05000566,SUTTON SOUTH,NULL,NULL,526750,163450,London,Wallington,552,Wallington,NULL,,1,1
002646-06012017,06.Jan.17,18:03:58,False Alarm,False alarm - Good intent,,Non Residential,"Takeaway, fast food ",Within same building,E12 6PH,E12,E09000025,NEWHAM,E05000481,EAST HAM NORTH,542239,184855,542250,184850,London,East Ham,392,Stratford,477,Ilford,2,2
002647-06012017,06.Jan.17,18:05:31,Fire,Primary Fire,,Non Residential,Leisure Centre ,Correct incident location,E11 4AY,E11,E09000031,WALTHAM FOREST,E05000591,CATHALL,539043,186494,539050,186450,London,Leytonstone,143,Leytonstone,NULL,,1,1
002648-06012017,06.Jan.17,18:08:33,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),On land associated with building,CR4 3LA,CR4,E09000024,MERTON,E05000460,FIGGE'S MARSH,527946,170029,527950,170050,London,Mitcham,356,Mitcham,NULL,,1,1
002650-06012017,06.Jan.17,18:14:55,Special Service,Special Service,Making Safe (not RTC),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW8,E09000032,WANDSWORTH,E05000620,QUEENSTOWN,NULL,NULL,529350,176750,London,Clapham,245,Clapham,NULL,,1,1
002651-06012017,06.Jan.17,18:16:06,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE13,E09000023,LEWISHAM,E05000448,LEWISHAM CENTRAL,NULL,NULL,537850,175950,London,Lewisham,314,Greenwich,380,Lee Green,2,2
002653-06012017,06.Jan.17,18:18:31,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,N3 2SZ,N3,E09000003,BARNET,E05000051,FINCHLEY CHURCH END,525044,190442,525050,190450,London,Finchley,290,Finchley,NULL,,1,1
002654-06012017,06.Jan.17,18:20:10,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,W1C 2JR,W1C,E09000033,WESTMINSTER,E05000649,WEST END,528529,181089,528550,181050,London,Soho,452,Soho,NULL,,1,1
002655-06012017,06.Jan.17,18:22:01,False Alarm,AFA,,Non Residential,Gym ,Correct incident location,EC1V 7DG,EC1V,E09000019,ISLINGTON,E05000367,BUNHILL,531524,183086,531550,183050,London,Islington,207,Islington,NULL,,1,1
002656-06012017,06.Jan.17,18:25:48,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,E6,E09000025,NEWHAM,E05000475,BECKTON,NULL,NULL,543450,181650,London,East Ham,197,East Ham,529,Barking,2,2
002657-06012017,06.Jan.17,18:29:26,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SE18,E09000011,GREENWICH,E05000226,PLUMSTEAD,NULL,NULL,545450,178550,London,Plumstead,139,Plumstead,148,Plumstead,1,2
002658-06012017,06.Jan.17,18:29:34,False Alarm,AFA,,Non Residential,Telephone exchange,Correct incident location,N7 8BH,N7,E09000019,ISLINGTON,E05000368,CALEDONIAN,530894,184615,530850,184650,London,Islington,429,Holloway,NULL,,1,1
002659-06012017,06.Jan.17,18:32:39,False Alarm,False alarm - Malicious,,Other Residential,Retirement/Old Persons Home,Correct incident location,W4 3BD,W4,E09000018,HOUNSLOW,E05000349,CHISWICK RIVERSIDE,519467,178045,519450,178050,London,Chiswick,164,Chiswick,365,Acton,2,2
002661-06012017,06.Jan.17,18:35:43,False Alarm,AFA,,Non Residential,Multi-Storey car park,Correct incident location,TW6 1QT,TW6,E09000017,HILLINGDON,E05000331,HEATHROW VILLAGES,507365,175850,507350,175850,London,Heathrow,278,Heathrow,NULL,,1,1
002662-06012017,06.Jan.17,18:36:33,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E16 3RF,E16,E09000025,NEWHAM,E05000479,CUSTOM HOUSE,541898,181034,541850,181050,London,Plaistow,947,Plaistow,NULL,,1,1
002665-06012017,06.Jan.17,18:37:14,False Alarm,False alarm - Malicious,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E15,E09000025,NEWHAM,E05000494,WEST HAM,NULL,NULL,539650,183750,London,Stratford,309,Stratford,443,Leytonstone,2,2
002668-06012017,06.Jan.17,18:41:54,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,W3 7DA,W3,E09000013,HAMMERSMITH AND FULHAM,E05000253,COLLEGE PARK AND OLD OAK,521593,180990,521550,180950,London,Acton,503,Hammersmith,NULL,,1,1
002672-06012017,06.Jan.17,18:45:59,Special Service,Special Service,RTC,Road Vehicle,Van ,In street close to gazetteer location,TW6 1EW,TW6,E09000017,HILLINGDON,E05000331,HEATHROW VILLAGES,508156,175784,508150,175750,London,Heathrow,365,Heathrow,404,Hayes,2,2
002673-06012017,06.Jan.17,18:46:05,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW1V,E09000033,WESTMINSTER,E05000645,TACHBROOK,NULL,NULL,529550,178550,London,Lambeth,245,Lambeth,253,Lambeth,2,3
002674-06012017,06.Jan.17,18:48:31,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,HA2,E09000015,HARROW,E05000301,ROXBOURNE,NULL,NULL,512450,185850,London,Northolt,288,Northolt,NULL,,1,2
002675-06012017,06.Jan.17,18:54:14,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,HA7,E09000015,HARROW,E05000299,QUEENSBURY,NULL,NULL,518650,189750,London,Stanmore,224,Stanmore,NULL,,1,1
002677-06012017,06.Jan.17,18:58:10,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W1H 2EJ,W1H,E09000033,WESTMINSTER,E05000632,BRYANSTON AND DORSET SQUARE,527586,181623,527550,181650,London,Paddington,299,Paddington,NULL,,1,1
002679-06012017,06.Jan.17,19:06:00,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,E13,E09000025,NEWHAM,E05000489,PLAISTOW NORTH,NULL,NULL,540650,183750,London,Stratford,415,Stratford,NULL,,1,1
002680-06012017,06.Jan.17,19:11:21,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,E16 3SD,E16,E09000025,NEWHAM,E05000479,CUSTOM HOUSE,540866,181595,540850,181550,London,Plaistow,348,East Ham,368,Poplar,2,2
002681-06012017,06.Jan.17,19:16:16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,WC1H,E09000007,CAMDEN,E05000141,KING'S CROSS,NULL,NULL,529950,182450,London,Euston,187,Euston,392,Soho,2,2
002682-06012017,06.Jan.17,19:17:51,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,DA8,E09000004,BEXLEY,E05000079,NORTH END,NULL,NULL,552350,176550,London,Erith,431,Erith,NULL,,1,1
002683-06012017,06.Jan.17,19:24:19,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,N15,E09000014,HARINGEY,E05000278,SEVEN SISTERS,NULL,NULL,532950,188250,London,Tottenham,289,Tottenham,NULL,,1,1
002687-06012017,06.Jan.17,19:34:28,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,SE9,E09000011,GREENWICH,E05000217,COLDHARBOUR AND NEW ELTHAM,NULL,NULL,543550,172350,London,Eltham,261,Eltham,402,Sidcup,2,3
002688-06012017,06.Jan.17,19:36:10,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE17,E09000028,SOUTHWARK,E05000544,NEWINGTON,NULL,NULL,531950,177750,London,Lambeth,NULL,,NULL,,1,1
002689-06012017,06.Jan.17,19:39:13,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,W4 3BD,W4,E09000018,HOUNSLOW,E05000349,CHISWICK RIVERSIDE,519467,178045,519450,178050,London,Chiswick,202,Chiswick,280,Acton,2,2
002692-06012017,06.Jan.17,19:43:48,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W8,E09000020,KENSINGTON AND CHELSEA,E05009390,CAMPDEN,NULL,NULL,525150,179550,London,Kensington,255,Kensington,NULL,,2,2
002694-06012017,06.Jan.17,19:47:40,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE1,E09000028,SOUTHWARK,E05000537,CHAUCER,NULL,NULL,532950,179250,London,Old Kent Road,1144,Dockhead,NULL,,1,1
002696-06012017,06.Jan.17,19:54:41,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,NW1 4AQ,NW1,E09000007,CAMDEN,E05000142,REGENT'S PARK,528892,182188,528850,182150,London,Euston,13,Euston,NULL,,1,1
002697-06012017,06.Jan.17,20:02:17,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE4,E09000023,LEWISHAM,E05000453,TELEGRAPH HILL,NULL,NULL,535950,175650,London,New Cross,316,New Cross,NULL,,1,1
002698-06012017,06.Jan.17,20:03:29,False Alarm,False alarm - Good intent,,Non Residential,Converted office ,Within same building,E1 1JE,E1,E09000030,TOWER HAMLETS,E05009336,WHITECHAPEL,534422,181675,534450,181650,London,Whitechapel,167,Whitechapel,313,Shadwell,2,2
002704-06012017,06.Jan.17,20:08:46,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW3,E09000020,KENSINGTON AND CHELSEA,E05009391,CHELSEA RIVERSIDE,NULL,NULL,526850,177650,London,Chelsea,142,Chelsea,311,Battersea,2,2
002705-06012017,06.Jan.17,20:11:31,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,SW1X,E09000020,KENSINGTON AND CHELSEA,E05009389,BROMPTON & HANS TOWN,NULL,NULL,527650,179050,London,Chelsea,367,Kensington,614,Fulham,2,2
002706-06012017,06.Jan.17,20:12:00,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,W11,E09000020,KENSINGTON AND CHELSEA,E05009399,NOTTING DALE,NULL,NULL,524150,181250,London,North Kensington,173,North Kensington,NULL,,1,1
002707-06012017,06.Jan.17,20:15:16,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,HA7,E09000015,HARROW,E05000286,CANONS,NULL,NULL,518150,192750,London,Stanmore,213,Stanmore,334,Stanmore,1,2
002711-06012017,06.Jan.17,20:44:37,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,NW6,E09000007,CAMDEN,E05000144,SWISS COTTAGE,NULL,NULL,526350,184450,London,West Hampstead,502,West Hampstead,NULL,,1,1
002712-06012017,06.Jan.17,20:51:46,Special Service,Special Service,No action (not false alarm),Road Vehicle,Car ,On motorway / elevated road,IG11 7BG,IG11,E09000025,NEWHAM,E05000482,EAST HAM SOUTH,543909,182627,543950,182650,London,Barking,1183,East Ham,NULL,,2,2
002713-06012017,06.Jan.17,20:55:18,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,UB7,E09000017,HILLINGDON,E05000342,WEST DRAYTON,NULL,NULL,506850,179750,London,Hayes,NULL,,NULL,,1,1
002714-06012017,06.Jan.17,21:00:18,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W11,E09000020,KENSINGTON AND CHELSEA,E05009392,COLVILLE,NULL,NULL,524450,181250,London,North Kensington,197,North Kensington,NULL,,1,1
002715-06012017,06.Jan.17,21:06:14,Special Service,Special Service,Lift Release,Non Residential,Converted office ,Correct incident location,W1J 7NH,W1J,E09000033,WESTMINSTER,E05000649,WEST END,528793,180144,528750,180150,London,Soho,351,Soho,NULL,,1,1
002716-06012017,06.Jan.17,21:08:28,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,RM9,E09000002,BARKING AND DAGENHAM,E05000036,MAYESBROOK,NULL,NULL,546650,184550,London,Barking,262,Barking,476,Ilford,2,2
002717-06012017,06.Jan.17,21:12:43,False Alarm,False alarm - Good intent,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,NW10 2LR,NW10,E09000005,BRENT,E05000105,WILLESDEN GREEN,522420,184466,522450,184450,London,Willesden,139,Willesden,336,Park Royal,2,2
002718-06012017,06.Jan.17,21:16:07,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW3,E09000007,CAMDEN,E05000128,BELSIZE,NULL,NULL,527150,184950,London,Kentish Town,362,West Hampstead,378,Kentish Town,2,2
002719-06012017,06.Jan.17,21:16:40,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,RM3 9SF,RM3,E09000016,HAVERING,E05000310,GOOSHAYS,555740,191788,555750,191750,London,Harold Hill,253,Harold Hill,NULL,,1,1
002730-06012017,06.Jan.17,21:39:33,Fire,Primary Fire,,Road Vehicle,Car ,On motorway / elevated road,SE28 8BF,SE28,E09000011,GREENWICH,E05000228,THAMESMEAD MOORINGS,547380,180202,547350,180250,London,Plumstead,328,Plumstead,NULL,,1,1
002732-06012017,06.Jan.17,21:46:55,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,E1,E09000030,TOWER HAMLETS,E05009331,ST. PETER'S,NULL,NULL,534850,182350,London,Bethnal Green,220,Bethnal Green,247,Whitechapel,3,3
002734-06012017,06.Jan.17,22:02:54,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE8,E09000023,LEWISHAM,E05000439,BROCKLEY,NULL,NULL,537350,176850,London,Greenwich,175,Greenwich,213,New Cross,4,5
002736-06012017,06.Jan.17,22:07:05,Special Service,Special Service,RTC,Road Vehicle,Car ,On land associated with building,TW3 3UA,TW3,E09000018,HOUNSLOW,E05000359,HOUNSLOW HEATH,513584,175102,513550,175150,London,Heston,489,Feltham,494,Feltham,1,2
002739-06012017,06.Jan.17,22:16:37,False Alarm,AFA,,Non Residential,Other industrial processing plant,Correct incident location,RM13 9JY,RM13,E09000016,HAVERING,E05000318,RAINHAM AND WENNINGTON,551413,181479,551450,181450,London,Wennington,584,Dagenham,NULL,,2,2
002743-06012017,06.Jan.17,22:34:22,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE23,E09000023,LEWISHAM,E05000450,PERRY VALE,NULL,NULL,535750,173050,London,Forest Hill,154,Forest Hill,366,Lewisham,2,2
002744-06012017,06.Jan.17,22:39:39,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,NW5,E09000007,CAMDEN,E05000136,HAVERSTOCK,NULL,NULL,528050,184550,London,Kentish Town,358,Kentish Town,NULL,,1,2
002745-06012017,06.Jan.17,22:40:46,Special Service,Special Service,No action (not false alarm),Outdoor,Road surface/pavement ,In street close to gazetteer location,EC1Y 1BE,EC1Y,E09000019,ISLINGTON,E05000367,BUNHILL,532757,182519,532750,182550,London,Shoreditch,NULL,,NULL,,1,1
002747-06012017,06.Jan.17,22:41:50,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,EC1R,E09000019,ISLINGTON,E05000370,CLERKENWELL,NULL,NULL,531450,182250,London,Shoreditch,314,Islington,345,Euston,2,2
002749-06012017,06.Jan.17,22:45:10,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,DA8,E09000004,BEXLEY,E05000079,NORTH END,NULL,NULL,551650,176850,London,Erith,NULL,,NULL,,1,1
002750-06012017,06.Jan.17,22:46:03,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW8,E09000022,LAMBETH,E05000425,LARKHALL,NULL,NULL,529650,176250,London,Clapham,246,Clapham,NULL,,1,1
002751-06012017,06.Jan.17,22:48:20,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW3,E09000020,KENSINGTON AND CHELSEA,E05009391,CHELSEA RIVERSIDE,NULL,NULL,526850,177650,London,Chelsea,166,Chelsea,289,Battersea,2,2
002755-06012017,06.Jan.17,22:53:45,Fire,Primary Fire,,Other Residential,Hotel/motel ,Correct incident location,EC4V 5AJ,EC4V,E09000001,CITY OF LONDON,E05009297,CASTLE BAYNARD,531984,181026,531950,181050,London,Dowgate,316,Dowgate,NULL,,1,1
002756-06012017,06.Jan.17,22:54:11,Fire,Primary Fire,,Non Residential,Electricity power station ,On land associated with building,EC1V 9JS,EC1V,E09000019,ISLINGTON,E05000367,BUNHILL,532641,182501,532650,182550,London,Shoreditch,279,Islington,352,Euston,2,2
002759-06012017,06.Jan.17,22:59:46,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,EC1V,E09000019,ISLINGTON,E05000367,BUNHILL,NULL,NULL,532550,182450,London,Shoreditch,NULL,,NULL,,1,1
002761-06012017,06.Jan.17,23:06:37,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,RM9 6GE,RM9,E09000002,BARKING AND DAGENHAM,E05000033,GORESBROOK,548991,183948,548950,183950,London,Dagenham,434,Dagenham,439,Dagenham,1,2
002762-06012017,06.Jan.17,23:06:51,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE10,E09000011,GREENWICH,E05000222,GREENWICH WEST,NULL,NULL,537750,177250,London,Greenwich,272,Deptford,337,Greenwich,2,2
002763-06012017,06.Jan.17,23:08:45,False Alarm,False alarm - Malicious,,Non Residential,Infant/Primary school,Correct incident location,TW14 9NP,TW14,E09000018,HOUNSLOW,E05000352,FELTHAM WEST,509786,173406,509750,173450,London,Feltham,238,Feltham,265,Feltham,1,2
002764-06012017,06.Jan.17,23:19:58,False Alarm,AFA,,Non Residential,Department Store ,Correct incident location,SW9 8EH,SW9,E09000022,LAMBETH,E05000421,FERNDALE,531004,175393,531050,175350,London,Brixton,239,Brixton,NULL,,1,1
002765-06012017,06.Jan.17,23:23:07,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,EC1V,E09000019,ISLINGTON,E05000367,BUNHILL,NULL,NULL,532550,182550,London,Shoreditch,NULL,,NULL,,1,1
002768-06012017,06.Jan.17,23:33:11,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,EC1V,E09000019,ISLINGTON,E05000367,BUNHILL,NULL,NULL,532550,182550,London,Shoreditch,NULL,,NULL,,1,1
002769-06012017,06.Jan.17,23:34:35,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW1V,E09000033,WESTMINSTER,E05000646,VINCENT SQUARE,NULL,NULL,529150,178950,London,Lambeth,428,Soho,NULL,,1,1
002770-06012017,06.Jan.17,23:35:30,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W5,E09000009,EALING,E05000182,NORTHFIELD,NULL,NULL,517850,178950,London,Ealing,295,Acton,315,Ealing,2,2
002772-06012017,06.Jan.17,23:38:36,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street outside gazetteer location,E1 6QR,E1,E09000030,TOWER HAMLETS,E05009333,SPITALFIELDS & BANGLATOWN,533738,181909,533750,181950,London,Whitechapel,511,Bethnal Green,NULL,,1,1
002773-06012017,06.Jan.17,23:38:42,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,N7,E09000019,ISLINGTON,E05000375,HOLLOWAY,NULL,NULL,530650,184850,London,Holloway,359,Whitechapel,682,Stoke Newington,2,2
002777-06012017,06.Jan.17,23:51:47,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,N6 5AX,N6,E09000014,HARINGEY,E05000272,HIGHGATE,528830,187877,528850,187850,London,Hornsey,322,Hornsey,NULL,,1,1
002778-06012017,06.Jan.17,23:57:22,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW1H,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,NULL,NULL,529650,179650,London,Lambeth,305,Lambeth,311,Lambeth,1,2
002779-07012017,07.Jan.17,00:02:03,False Alarm,False alarm - Good intent,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,N12 8NU,N12,E09000003,BARNET,E05000061,WEST FINCHLEY,526002,191790,526050,191750,London,Finchley,278,Finchley,NULL,,1,2
002782-07012017,07.Jan.17,00:08:22,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,W10,E09000020,KENSINGTON AND CHELSEA,E05009394,DALGARNO,NULL,NULL,523150,181850,London,North Kensington,202,North Kensington,NULL,,1,1
002783-07012017,07.Jan.17,00:24:23,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,RM14,E09000016,HAVERING,E05000307,CRANHAM,NULL,NULL,557250,188350,London,Hornchurch,498,Hornchurch,NULL,,1,1
002784-07012017,07.Jan.17,00:26:19,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,E12,E09000025,NEWHAM,E05000481,EAST HAM NORTH,NULL,NULL,542750,184950,London,East Ham,490,East Ham,NULL,,1,1
002786-07012017,07.Jan.17,00:31:59,Special Service,Special Service,Lift Release,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W1D,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,NULL,NULL,529650,180850,London,Soho,NULL,,NULL,,1,1
002788-07012017,07.Jan.17,00:37:19,False Alarm,AFA,,Non Residential,Other office/call centre type building,Correct incident location,SE1 3PL,SE1,E09000028,SOUTHWARK,E05000542,GRANGE,533525,179641,533550,179650,London,Dockhead,261,Dockhead,NULL,,1,1
002789-07012017,07.Jan.17,00:38:37,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW2,E09000022,LAMBETH,E05000417,BRIXTON HILL,NULL,NULL,530450,173550,London,West Norwood,359,Brixton,NULL,,1,1
002790-07012017,07.Jan.17,00:41:49,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E8,E09000012,HACKNEY,E05009381,LONDON FIELDS,NULL,NULL,533550,183950,London,Shoreditch,NULL,,NULL,,1,1
002791-07012017,07.Jan.17,00:44:20,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,E1,E09000030,TOWER HAMLETS,E05009331,ST. PETER'S,NULL,NULL,534850,182350,London,Bethnal Green,217,Bethnal Green,288,Whitechapel,3,3
002792-07012017,07.Jan.17,00:46:27,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N1,E09000019,ISLINGTON,E05000368,CALEDONIAN,NULL,NULL,530550,184050,London,Islington,616,Dowgate,676,Euston,3,3
002793-07012017,07.Jan.17,00:47:48,False Alarm,AFA,,Other Residential,Youth hostel ,Correct incident location,W2 4EB,W2,E09000020,KENSINGTON AND CHELSEA,E05009400,PEMBRIDGE,525256,180589,525250,180550,London,Kensington,333,Kensington,NULL,,1,1
002797-07012017,07.Jan.17,00:55:05,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,TW8 9RA,TW8,E09000018,HOUNSLOW,E05000347,BRENTFORD,518079,178614,518050,178650,London,Ealing,383,Chiswick,NULL,,1,1
002798-07012017,07.Jan.17,01:09:38,False Alarm,AFA,,Non Residential,Gym ,Within same building,EC1A 7DH,EC1A,E09000001,CITY OF LONDON,E05009288,ALDERSGATE,532034,181513,532050,181550,London,Dowgate,147,Dowgate,NULL,,1,1
002799-07012017,07.Jan.17,01:09:53,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,N17,E09000014,HARINGEY,E05000281,TOTTENHAM HALE,NULL,NULL,533850,189750,London,Tottenham,144,Tottenham,151,Tottenham,1,2
002800-07012017,07.Jan.17,01:20:57,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,NW10,E09000005,BRENT,E05000091,HARLESDEN,NULL,NULL,521150,183950,London,Park Royal,257,Willesden,290,Park Royal,2,2
002801-07012017,07.Jan.17,01:28:45,False Alarm,False alarm - Malicious,,Non Residential,Hospital ,Correct incident location,EC1V 2PD,EC1V,E09000019,ISLINGTON,E05000367,BUNHILL,532602,182655,532650,182650,London,Shoreditch,155,Shoreditch,282,Whitechapel,4,4
002802-07012017,07.Jan.17,01:30:54,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TN16,E09000006,BROMLEY,E05000107,BIGGIN HILL,NULL,NULL,541850,159050,London,Biggin Hill,574,Biggin Hill,687,Addington,2,2
002803-07012017,07.Jan.17,01:49:40,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,RM1,E09000016,HAVERING,E05000306,BROOKLANDS,NULL,NULL,551650,187550,London,Hornchurch,NULL,,NULL,,1,1
002804-07012017,07.Jan.17,02:00:40,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW12,E09000032,WANDSWORTH,E05000610,BALHAM,NULL,NULL,528450,174050,London,Tooting,351,Clapham,359,Tooting,2,3
